alert_id,district_id,district_name,created_at,alert_type,priority_level,status,trigger_summary,confidence_score
ALT-2026-00050,11,Dindigul,2025-08-09 06:37:42,HIGH_RISK_LOW_CONFIDENCE,MEDIUM,RESOLVED,Statistically significant pattern change observed in Dindigul jurisdiction.,75
ALT-2026-00051,27,Perambalur,2026-01-20 03:41:38,RAPID_INCREASE,CRITICAL,RESOLVED,Statistically significant pattern change observed in Perambalur jurisdiction.,90
ALT-2026-00052,9,Vellore,2025-03-16 12:46:51,HIGH_RISK_LOW_CONFIDENCE,ADVISORY,ACTIVE_UNASSIGNED,Statistically significant pattern change observed in Vellore jurisdiction.,75
ALT-2026-00053,13,Thoothukudi,2024-12-04 16:21:08,RAPID_INCREASE,MEDIUM,ACTIVE_UNASSIGNED,Statistically significant pattern change observed in Thoothukudi jurisdiction.,78
ALT-2026-00054,3,Madurai,2025-03-30 07:00:56,DATA_ANOMALY,HIGH,VERIFIED_ACTIONED,Statistically significant pattern change observed in Madurai jurisdiction.,76
ALT-2026-00055,5,Tiruchirappalli,2025-06-27 17:59:23,DATA_ANOMALY,CRITICAL,RESOLVED,Statistically significant pattern change observed in Tiruchirappalli jurisdiction.,67
ALT-2026-00056,23,Namakkal,2025-12-25 11:11:55,EMERGING_ZONE,ADVISORY,ACTIVE_UNASSIGNED,Statistically significant pattern change observed in Namakkal jurisdiction.,90
ALT-2026-00057,32,Theni,2026-02-03 20:24:09,NEW_SIGNAL,HIGH,VERIFIED_ACTIONED,Statistically significant pattern change observed in Theni jurisdiction.,70
ALT-2026-00058,6,Tirunelveli,2025-10-23 12:54:09,EMERGING_ZONE,MEDIUM,ACTIVE_UNASSIGNED,Statistically significant pattern change observed in Tirunelveli jurisdiction.,68
ALT-2026-00059,15,Tenkasi,2025-10-31 00:00:41,NEW_SIGNAL,CRITICAL,VERIFIED_ACTIONED,Statistically significant pattern change observed in Tenkasi jurisdiction.,92
ALT-2026-00060,13,Thoothukudi,2025-12-23 17:03:49,HIGH_RISK_LOW_CONFIDENCE,CRITICAL,VERIFIED_ACTIONED,Statistically significant pattern change observed in Thoothukudi jurisdiction.,89
ALT-2026-00061,29,Sivaganga,2025-07-17 17:22:57,RAPID_INCREASE,HIGH,VERIFIED_ACTIONED,Statistically significant pattern change observed in Sivaganga jurisdiction.,79
ALT-2026-00062,9,Vellore,2025-08-13 20:59:01,DATA_ANOMALY,MEDIUM,ASSIGNED_FOR_TRIAGE,Statistically significant pattern change observed in Vellore jurisdiction.,67
ALT-2026-00063,16,Kancheepuram,2025-11-22 04:51:32,NEW_SIGNAL,HIGH,ACTIVE_UNASSIGNED,Statistically significant pattern change observed in Kancheepuram jurisdiction.,94
ALT-2026-00064,22,Dharmapuri,2025-03-16 20:23:06,HIGH_RISK_LOW_CONFIDENCE,CRITICAL,RESOLVED,Statistically significant pattern change observed in Dharmapuri jurisdiction.,88
ALT-2026-00065,6,Tirunelveli,2026-03-28 12:54:14,NEW_SIGNAL,HIGH,RESOLVED,Statistically significant pattern change observed in Tirunelveli jurisdiction.,71
ALT-2026-00066,31,Virudhunagar,2026-08-07 07:13:45,HIGH_RISK_LOW_CONFIDENCE,CRITICAL,RESOLVED,Statistically significant pattern change observed in Virudhunagar jurisdiction.,67
ALT-2026-00067,17,Chengalpattu,2025-10-15 00:52:15,CORRIDOR_SURGE,HIGH,RESOLVED,Statistically significant pattern change observed in Chengalpattu jurisdiction.,78
ALT-2026-00068,20,Viluppuram,2026-07-06 05:44:32,CORRIDOR_SURGE,CRITICAL,ACTIVE_UNASSIGNED,Statistically significant pattern change observed in Viluppuram jurisdiction.,77
ALT-2026-00069,12,Thanjavur,2025-05-17 10:03:27,EMERGING_ZONE,MEDIUM,ASSIGNED_FOR_TRIAGE,Statistically significant pattern change observed in Thanjavur jurisdiction.,90
ALT-2026-00070,6,Tirunelveli,2025-10-29 14:09:37,HIGH_RISK_LOW_CONFIDENCE,CRITICAL,RESOLVED,Statistically significant pattern change observed in Tirunelveli jurisdiction.,87
ALT-2026-00071,17,Chengalpattu,2025-03-22 14:52:13,NEW_SIGNAL,HIGH,VERIFIED_ACTIONED,Statistically significant pattern change observed in Chengalpattu jurisdiction.,89
ALT-2026-00072,30,Ramanathapuram,2026-04-19 09:00:54,RAPID_INCREASE,CRITICAL,ACTIVE_UNASSIGNED,Statistically significant pattern change observed in Ramanathapuram jurisdiction.,83
ALT-2026-00073,8,Tiruppur,2026-05-04 06:44:15,EMERGING_ZONE,HIGH,VERIFIED_ACTIONED,Statistically significant pattern change observed in Tiruppur jurisdiction.,74
ALT-2026-00074,38,Tiruvannamalai,2025-09-03 15:52:41,DATA_ANOMALY,CRITICAL,ACTIVE_UNASSIGNED,Statistically significant pattern change observed in Tiruvannamalai jurisdiction.,95
ALT-2026-00075,6,Tirunelveli,2025-03-23 21:35:59,CORRIDOR_SURGE,HIGH,ACTIVE_UNASSIGNED,Statistically significant pattern change observed in Tirunelveli jurisdiction.,83
ALT-2026-00076,13,Thoothukudi,2026-08-13 11:37:11,DATA_ANOMALY,MEDIUM,RESOLVED,Statistically significant pattern change observed in Thoothukudi jurisdiction.,85
ALT-2026-00077,32,Theni,2024-09-20 18:32:57,DATA_ANOMALY,MEDIUM,ASSIGNED_FOR_TRIAGE,Statistically significant pattern change observed in Theni jurisdiction.,92
ALT-2026-00078,17,Chengalpattu,2026-03-05 06:42:23,RAPID_INCREASE,ADVISORY,RESOLVED,Statistically significant pattern change observed in Chengalpattu jurisdiction.,88
ALT-2026-00079,3,Madurai,2026-07-21 16:32:28,NEW_SIGNAL,MEDIUM,VERIFIED_ACTIONED,Statistically significant pattern change observed in Madurai jurisdiction.,80
ALT-2026-00080,15,Tenkasi,2025-05-25 11:06:12,DATA_ANOMALY,MEDIUM,VERIFIED_ACTIONED,Statistically significant pattern change observed in Tenkasi jurisdiction.,78
ALT-2026-00081,20,Viluppuram,2026-01-14 04:11:25,DATA_ANOMALY,HIGH,RESOLVED,Statistically significant pattern change observed in Viluppuram jurisdiction.,68
ALT-2026-00082,13,Thoothukudi,2024-12-02 19:48:15,RAPID_INCREASE,ADVISORY,ACTIVE_UNASSIGNED,Statistically significant pattern change observed in Thoothukudi jurisdiction.,87
ALT-2026-00083,22,Dharmapuri,2025-11-17 04:52:14,HIGH_RISK_LOW_CONFIDENCE,CRITICAL,VERIFIED_ACTIONED,Statistically significant pattern change observed in Dharmapuri jurisdiction.,75
ALT-2026-00084,21,Kallakurichi,2025-04-14 14:07:16,DATA_ANOMALY,ADVISORY,ACTIVE_UNASSIGNED,Statistically significant pattern change observed in Kallakurichi jurisdiction.,65
ALT-2026-00085,22,Dharmapuri,2025-04-21 22:59:17,CORRIDOR_SURGE,CRITICAL,VERIFIED_ACTIONED,Statistically significant pattern change observed in Dharmapuri jurisdiction.,92
ALT-2026-00086,9,Vellore,2024-11-03 08:41:22,EMERGING_ZONE,CRITICAL,RESOLVED,Statistically significant pattern change observed in Vellore jurisdiction.,84
ALT-2026-00087,18,Tiruvallur,2025-03-01 20:33:43,NEW_SIGNAL,ADVISORY,ASSIGNED_FOR_TRIAGE,Statistically significant pattern change observed in Tiruvallur jurisdiction.,71
ALT-2026-00088,18,Tiruvallur,2026-07-17 21:50:07,CORRIDOR_SURGE,HIGH,RESOLVED,Statistically significant pattern change observed in Tiruvallur jurisdiction.,81
ALT-2026-00089,14,Kanniyakumari,2025-06-30 07:45:26,NEW_SIGNAL,HIGH,ASSIGNED_FOR_TRIAGE,Statistically significant pattern change observed in Kanniyakumari jurisdiction.,71
ALT-2026-00090,26,Ariyalur,2024-09-30 07:30:54,HIGH_RISK_LOW_CONFIDENCE,MEDIUM,VERIFIED_ACTIONED,Statistically significant pattern change observed in Ariyalur jurisdiction.,65
ALT-2026-00091,16,Kancheepuram,2025-02-24 04:14:31,HIGH_RISK_LOW_CONFIDENCE,MEDIUM,ACTIVE_UNASSIGNED,Statistically significant pattern change observed in Kancheepuram jurisdiction.,94
ALT-2026-00092,36,Ranipet,2026-04-18 07:38:32,CORRIDOR_SURGE,MEDIUM,ASSIGNED_FOR_TRIAGE,Statistically significant pattern change observed in Ranipet jurisdiction.,75
ALT-2026-00093,16,Kancheepuram,2025-07-23 05:02:47,RAPID_INCREASE,CRITICAL,VERIFIED_ACTIONED,Statistically significant pattern change observed in Kancheepuram jurisdiction.,88
ALT-2026-00094,15,Tenkasi,2024-11-07 08:18:07,NEW_SIGNAL,ADVISORY,RESOLVED,Statistically significant pattern change observed in Tenkasi jurisdiction.,74
ALT-2026-00095,17,Chengalpattu,2026-07-24 02:48:21,EMERGING_ZONE,HIGH,ASSIGNED_FOR_TRIAGE,Statistically significant pattern change observed in Chengalpattu jurisdiction.,65
ALT-2026-00096,20,Viluppuram,2026-03-24 01:36:58,DATA_ANOMALY,ADVISORY,ACTIVE_UNASSIGNED,Statistically significant pattern change observed in Viluppuram jurisdiction.,91
ALT-2026-00097,11,Dindigul,2025-06-03 08:17:43,NEW_SIGNAL,HIGH,ASSIGNED_FOR_TRIAGE,Statistically significant pattern change observed in Dindigul jurisdiction.,66
ALT-2026-00098,24,Nilgiris,2026-07-25 16:03:55,CORRIDOR_SURGE,MEDIUM,ASSIGNED_FOR_TRIAGE,Statistically significant pattern change observed in Nilgiris jurisdiction.,65
ALT-2026-00099,5,Tiruchirappalli,2026-08-14 03:45:24,EMERGING_ZONE,CRITICAL,ASSIGNED_FOR_TRIAGE,Statistically significant pattern change observed in Tiruchirappalli jurisdiction.,88
ALT-2026-00100,32,Theni,2025-10-23 11:52:37,EMERGING_ZONE,HIGH,VERIFIED_ACTIONED,Statistically significant pattern change observed in Theni jurisdiction.,70
ALT-2026-00101,24,Nilgiris,2026-04-14 00:57:24,EMERGING_ZONE,MEDIUM,ACTIVE_UNASSIGNED,Statistically significant pattern change observed in Nilgiris jurisdiction.,79
ALT-2026-00102,18,Tiruvallur,2026-05-14 10:14:33,RAPID_INCREASE,ADVISORY,ASSIGNED_FOR_TRIAGE,Statistically significant pattern change observed in Tiruvallur jurisdiction.,71
ALT-2026-00103,32,Theni,2025-12-15 02:29:33,DATA_ANOMALY,HIGH,VERIFIED_ACTIONED,Statistically significant pattern change observed in Theni jurisdiction.,73
ALT-2026-00104,9,Vellore,2026-07-12 00:46:33,EMERGING_ZONE,HIGH,RESOLVED,Statistically significant pattern change observed in Vellore jurisdiction.,82
ALT-2026-00105,10,Krishnagiri,2026-01-29 10:23:06,NEW_SIGNAL,MEDIUM,ACTIVE_UNASSIGNED,Statistically significant pattern change observed in Krishnagiri jurisdiction.,86
ALT-2026-00106,20,Viluppuram,2026-07-14 20:00:33,RAPID_INCREASE,CRITICAL,VERIFIED_ACTIONED,Statistically significant pattern change observed in Viluppuram jurisdiction.,90
ALT-2026-00107,9,Vellore,2025-12-22 21:11:52,HIGH_RISK_LOW_CONFIDENCE,MEDIUM,ASSIGNED_FOR_TRIAGE,Statistically significant pattern change observed in Vellore jurisdiction.,85
ALT-2026-00108,24,Nilgiris,2025-08-06 18:48:56,DATA_ANOMALY,CRITICAL,RESOLVED,Statistically significant pattern change observed in Nilgiris jurisdiction.,75
ALT-2026-00109,17,Chengalpattu,2025-07-28 16:42:03,RAPID_INCREASE,ADVISORY,ASSIGNED_FOR_TRIAGE,Statistically significant pattern change observed in Chengalpattu jurisdiction.,74
ALT-2026-00110,22,Dharmapuri,2024-10-18 05:57:36,CORRIDOR_SURGE,CRITICAL,ASSIGNED_FOR_TRIAGE,Statistically significant pattern change observed in Dharmapuri jurisdiction.,79
ALT-2026-00111,19,Cuddalore,2025-10-07 00:06:03,EMERGING_ZONE,ADVISORY,RESOLVED,Statistically significant pattern change observed in Cuddalore jurisdiction.,78
ALT-2026-00112,26,Ariyalur,2026-05-19 06:46:06,NEW_SIGNAL,CRITICAL,VERIFIED_ACTIONED,Statistically significant pattern change observed in Ariyalur jurisdiction.,86
ALT-2026-00113,25,Karur,2025-12-14 10:29:14,EMERGING_ZONE,MEDIUM,VERIFIED_ACTIONED,Statistically significant pattern change observed in Karur jurisdiction.,94
ALT-2026-00114,6,Tirunelveli,2025-05-26 03:22:55,CORRIDOR_SURGE,CRITICAL,VERIFIED_ACTIONED,Statistically significant pattern change observed in Tirunelveli jurisdiction.,81
ALT-2026-00115,20,Viluppuram,2024-11-17 23:32:58,HIGH_RISK_LOW_CONFIDENCE,MEDIUM,ACTIVE_UNASSIGNED,Statistically significant pattern change observed in Viluppuram jurisdiction.,93
ALT-2026-00116,25,Karur,2025-08-17 03:25:52,EMERGING_ZONE,CRITICAL,ASSIGNED_FOR_TRIAGE,Statistically significant pattern change observed in Karur jurisdiction.,92
ALT-2026-00117,27,Perambalur,2024-12-27 06:49:15,NEW_SIGNAL,CRITICAL,VERIFIED_ACTIONED,Statistically significant pattern change observed in Perambalur jurisdiction.,74
ALT-2026-00118,16,Kancheepuram,2025-12-11 15:58:56,EMERGING_ZONE,MEDIUM,ASSIGNED_FOR_TRIAGE,Statistically significant pattern change observed in Kancheepuram jurisdiction.,85
ALT-2026-00119,12,Thanjavur,2025-05-30 17:28:38,RAPID_INCREASE,HIGH,ASSIGNED_FOR_TRIAGE,Statistically significant pattern change observed in Thanjavur jurisdiction.,70
ALT-2026-00120,12,Thanjavur,2025-01-17 02:21:48,CORRIDOR_SURGE,ADVISORY,VERIFIED_ACTIONED,Statistically significant pattern change observed in Thanjavur jurisdiction.,84
ALT-2026-00121,2,Coimbatore,2026-02-05 05:26:58,DATA_ANOMALY,CRITICAL,VERIFIED_ACTIONED,Statistically significant pattern change observed in Coimbatore jurisdiction.,80
ALT-2026-00122,13,Thoothukudi,2025-02-17 12:57:12,NEW_SIGNAL,CRITICAL,ASSIGNED_FOR_TRIAGE,Statistically significant pattern change observed in Thoothukudi jurisdiction.,69
ALT-2026-00123,24,Nilgiris,2025-01-07 22:43:55,CORRIDOR_SURGE,MEDIUM,ACTIVE_UNASSIGNED,Statistically significant pattern change observed in Nilgiris jurisdiction.,67
ALT-2026-00124,18,Tiruvallur,2026-01-30 13:53:30,EMERGING_ZONE,ADVISORY,ASSIGNED_FOR_TRIAGE,Statistically significant pattern change observed in Tiruvallur jurisdiction.,82
ALT-2026-00125,10,Krishnagiri,2024-11-19 12:32:51,HIGH_RISK_LOW_CONFIDENCE,HIGH,RESOLVED,Statistically significant pattern change observed in Krishnagiri jurisdiction.,68
ALT-2026-00126,14,Kanniyakumari,2026-02-25 05:50:37,NEW_SIGNAL,MEDIUM,VERIFIED_ACTIONED,Statistically significant pattern change observed in Kanniyakumari jurisdiction.,87
ALT-2026-00127,28,Pudukkottai,2026-03-17 10:41:43,EMERGING_ZONE,HIGH,RESOLVED,Statistically significant pattern change observed in Pudukkottai jurisdiction.,88
ALT-2026-00128,7,Erode,2025-08-13 19:55:23,DATA_ANOMALY,ADVISORY,ASSIGNED_FOR_TRIAGE,Statistically significant pattern change observed in Erode jurisdiction.,85
ALT-2026-00129,3,Madurai,2026-05-16 20:08:38,HIGH_RISK_LOW_CONFIDENCE,ADVISORY,VERIFIED_ACTIONED,Statistically significant pattern change observed in Madurai jurisdiction.,66
ALT-2026-00130,28,Pudukkottai,2024-11-06 01:22:01,RAPID_INCREASE,HIGH,VERIFIED_ACTIONED,Statistically significant pattern change observed in Pudukkottai jurisdiction.,84
ALT-2026-00131,35,Mayiladuthurai,2025-12-20 02:57:27,RAPID_INCREASE,MEDIUM,VERIFIED_ACTIONED,Statistically significant pattern change observed in Mayiladuthurai jurisdiction.,96
ALT-2026-00132,1,Chennai,2026-05-26 12:31:31,HIGH_RISK_LOW_CONFIDENCE,CRITICAL,RESOLVED,Statistically significant pattern change observed in Chennai jurisdiction.,74
ALT-2026-00133,22,Dharmapuri,2025-05-18 18:12:06,HIGH_RISK_LOW_CONFIDENCE,MEDIUM,VERIFIED_ACTIONED,Statistically significant pattern change observed in Dharmapuri jurisdiction.,84
ALT-2026-00134,17,Chengalpattu,2025-02-02 02:29:47,CORRIDOR_SURGE,ADVISORY,VERIFIED_ACTIONED,Statistically significant pattern change observed in Chengalpattu jurisdiction.,67
ALT-2026-00135,34,Nagapattinam,2026-07-11 13:15:06,RAPID_INCREASE,CRITICAL,ASSIGNED_FOR_TRIAGE,Statistically significant pattern change observed in Nagapattinam jurisdiction.,65
ALT-2026-00136,11,Dindigul,2025-07-20 14:39:37,DATA_ANOMALY,CRITICAL,VERIFIED_ACTIONED,Statistically significant pattern change observed in Dindigul jurisdiction.,91
ALT-2026-00137,37,Tirupathur,2024-11-26 09:39:17,RAPID_INCREASE,CRITICAL,ACTIVE_UNASSIGNED,Statistically significant pattern change observed in Tirupathur jurisdiction.,70
ALT-2026-00138,27,Perambalur,2026-06-15 13:39:10,CORRIDOR_SURGE,HIGH,ASSIGNED_FOR_TRIAGE,Statistically significant pattern change observed in Perambalur jurisdiction.,67
ALT-2026-00139,4,Salem,2025-08-14 23:18:57,DATA_ANOMALY,HIGH,VERIFIED_ACTIONED,Statistically significant pattern change observed in Salem jurisdiction.,86
ALT-2026-00140,9,Vellore,2025-04-20 19:39:52,NEW_SIGNAL,ADVISORY,VERIFIED_ACTIONED,Statistically significant pattern change observed in Vellore jurisdiction.,74
ALT-2026-00141,15,Tenkasi,2024-10-26 10:34:57,EMERGING_ZONE,CRITICAL,RESOLVED,Statistically significant pattern change observed in Tenkasi jurisdiction.,76
ALT-2026-00142,32,Theni,2025-03-21 05:11:18,RAPID_INCREASE,HIGH,ASSIGNED_FOR_TRIAGE,Statistically significant pattern change observed in Theni jurisdiction.,89
ALT-2026-00143,32,Theni,2026-04-13 17:17:16,DATA_ANOMALY,ADVISORY,VERIFIED_ACTIONED,Statistically significant pattern change observed in Theni jurisdiction.,71
ALT-2026-00144,16,Kancheepuram,2024-12-26 10:32:11,CORRIDOR_SURGE,HIGH,ASSIGNED_FOR_TRIAGE,Statistically significant pattern change observed in Kancheepuram jurisdiction.,89
ALT-2026-00145,21,Kallakurichi,2024-10-20 10:36:14,NEW_SIGNAL,MEDIUM,ASSIGNED_FOR_TRIAGE,Statistically significant pattern change observed in Kallakurichi jurisdiction.,88
ALT-2026-00146,21,Kallakurichi,2024-11-04 10:46:48,CORRIDOR_SURGE,MEDIUM,ACTIVE_UNASSIGNED,Statistically significant pattern change observed in Kallakurichi jurisdiction.,89
